Time,Blade,Action,Type,Interface,Origin,Source,Destination,Service,Access Rule Number,Access Rule Name,Description,SNI,TLS Server Host Name
2026-04-02T15:46:36Z,HTTPS Inspection,HTTPS Inspect,Session,,,192.168.100.150,72.154.7.112,443,,,,,
2026-04-02T15:46:35Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,20.165.94.54,443,,,,,
2026-04-02T15:46:27Z,Firewall,Accept,Connection,,,192.168.100.150,20.242.181.1,443,,Cleanup rule,,,
2026-04-02T15:46:20Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,20.242.181.1,443,,,,,
2026-04-02T15:45:23Z,Firewall,Accept,Connection,,,192.168.100.150,20.242.181.1,443,,Cleanup rule,,,
2026-04-02T15:45:15Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,20.242.181.1,443,,,,,
2026-04-02T15:45:15Z,Firewall,Accept,Connection,,,192.168.100.150,20.242.181.1,443,,Cleanup rule,,,
2026-04-02T15:45:07Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,20.242.181.1,443,,,,,
2026-04-02T15:42:05Z,Firewall,Accept,Connection,,,192.168.100.150,20.165.94.54,443,,Cleanup rule,,,
2026-04-02T15:42:04Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,20.165.94.54,443,,,,,
2026-04-02T15:42:01Z,Firewall,Accept,Connection,,,192.168.100.150,20.165.94.54,443,,Cleanup rule,,,
2026-04-02T15:42:00Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,20.165.94.54,443,,,,,
2026-04-02T15:41:59Z,Firewall,Accept,Connection,,,192.168.100.150,20.42.73.26,443,,Cleanup rule,,,
2026-04-02T15:41:58Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,20.165.94.54,443,,,,,
2026-04-02T15:41:58Z,Firewall,Accept,Connection,,,192.168.100.150,20.165.94.54,443,,Cleanup rule,,,
2026-04-02T15:41:57Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,20.165.94.54,443,,,,,
2026-04-02T15:41:57Z,Firewall,Accept,Connection,,,192.168.100.150,20.165.94.54,443,,Cleanup rule,,,
2026-04-02T15:41:55Z,Firewall,Accept,Connection,,,192.168.100.150,20.165.94.54,443,,Cleanup rule,,,
2026-04-02T15:41:53Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,20.165.94.54,443,,,,,
2026-04-02T15:41:51Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,20.42.73.26,443,,,,,
2026-04-02T15:41:51Z,HTTPS Inspection,HTTPS Inspect,Session,,,192.168.100.150,20.42.73.26,443,,,,,
2026-04-02T15:41:51Z,Firewall,Accept,Connection,,,192.168.100.150,20.165.94.54,443,,Cleanup rule,,,
2026-04-02T15:41:50Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,20.165.94.54,443,,,,,
2026-04-02T15:41:48Z,Firewall,Accept,Connection,,,192.168.100.150,72.154.7.16,443,,Cleanup rule,,,
2026-04-02T15:41:48Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,72.154.7.16,443,,,,,
2026-04-02T15:41:48Z,Firewall,Accept,Connection,,,192.168.100.150,72.154.7.100,443,,Cleanup rule,,,
2026-04-02T15:41:48Z,HTTPS Inspection,HTTPS Inspect,Session,,,192.168.100.150,72.154.7.16,443,,,,,
2026-04-02T15:41:48Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,72.154.7.100,443,,,,,
2026-04-02T15:41:48Z,HTTPS Inspection,HTTPS Inspect,Session,,,192.168.100.150,72.154.7.100,443,,,,,
2026-04-02T15:41:47Z,Firewall,Accept,Connection,,,192.168.100.150,192.178.202.95,443,,Cleanup rule,,,
2026-04-02T15:41:47Z,Firewall,Accept,Connection,,,192.168.100.150,192.178.202.95,443,,Cleanup rule,,,
2026-04-02T15:41:42Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,157.240.203.174,443,,,,,
2026-04-02T15:41:42Z,Firewall,Accept,Connection,,,192.168.100.150,157.240.203.174,443,,Cleanup rule,,,
2026-04-02T15:41:15Z,Firewall,Accept,Connection,,,192.168.100.150,20.165.94.54,443,,Cleanup rule,,,
2026-04-02T15:41:14Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,20.165.94.54,443,,,,,
2026-04-02T15:41:12Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,20.165.94.54,443,,,,,
2026-04-02T15:41:12Z,Firewall,Accept,Connection,,,192.168.100.150,20.165.94.54,443,,Cleanup rule,,,
2026-04-02T15:41:09Z,Firewall,Accept,Connection,,,192.168.100.150,20.165.94.54,443,,Cleanup rule,,,
2026-04-02T15:41:09Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,20.165.94.54,443,,,,,
2026-04-02T15:41:09Z,Firewall,Accept,Connection,,,192.168.100.150,20.165.94.54,443,,Cleanup rule,,,
2026-04-02T15:41:08Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,20.165.94.54,443,,,,,
2026-04-02T15:41:05Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,20.165.94.54,443,,,,,
2026-04-02T15:41:05Z,Firewall,Accept,Connection,,,192.168.100.150,20.165.94.54,443,,Cleanup rule,,,
2026-04-02T15:41:02Z,Firewall,Accept,Connection,,,192.168.100.150,20.165.94.54,443,,Cleanup rule,,,
2026-04-02T15:41:01Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,20.165.94.54,443,,,,,
2026-04-02T15:41:01Z,HTTPS Inspection,HTTPS Inspect,Session,,,192.168.100.150,20.165.94.54,443,,,,,
2026-04-02T15:40:15Z,Firewall,Accept,Connection,,,192.168.100.150,20.242.181.1,443,,Cleanup rule,,,
2026-04-02T15:40:07Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,20.242.181.1,443,,,,,
2026-04-02T15:39:46Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,72.145.35.109,443,,,,,
2026-04-02T15:39:46Z,Firewall,Accept,Connection,,,192.168.100.150,72.145.35.109,443,,Cleanup rule,,,
2026-04-02T15:39:46Z,HTTPS Inspection,HTTPS Inspect,Session,,,192.168.100.150,72.145.35.109,443,,,,,
2026-04-02T15:39:41Z,Firewall,Accept,Connection,,,192.168.100.150,72.154.7.99,443,,Cleanup rule,,,
2026-04-02T15:39:40Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,72.154.7.99,443,,,,,
2026-04-02T15:38:50Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,74.178.240.51,443,,,,,
2026-04-02T15:38:50Z,Firewall,Accept,Connection,,,192.168.100.150,74.178.240.51,443,,Cleanup rule,,,
2026-04-02T15:38:44Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,74.178.240.51,443,,,,,
2026-04-02T15:38:44Z,Firewall,Accept,Connection,,,192.168.100.150,74.178.240.51,443,,Cleanup rule,,,
